Nid,Title,field_recipe_ingredients,field_recipe_image,field_sanco_method,field_sanco_nutritional_info,field_sanco_serves,field_sanco_source_title,field_sanco_source_url,language,filepath
11,Baked White Bean Dip with Rosemary and Parmesan,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Most baked dips, while usually delicious, aren’t exactly healthy.  I love a nice creamy baked artichoke dip or a warm pinto bean dip covered with melted cheese, but they aren’t something I feel like I can indulge in all the time.

That’s why I’m so happy I discovered this Baked White Bean Dip with Rosemary and Parmesan from Faith Durand’s new cookbook, Not Your Mother’s Casseroles.  It satisfies my craving for a decadent warm dip, but is healthy enough to enjoy whenever I want.  The dip is a snap to make and uses pantry staples like canned beans, olive oil, and bread crumbs so it’s easy to throw together for unexpected guests or impromptu gatherings.","I’m pretty picky when it comes to accepting review copies of cookbooks because I just don’t have room for more books.  But I love casseroles, and I really liked the idea of a casserole book with 200 recipes, not one of which calls for a can of condensed soup.

Not Your Mother’s Casseroles was written by Faith Durand, managing editor of Apartment Therapy’s The Kitchn, so it should come as no surprise that the book is fantastic.  There are a few classic recipes like Basic Potluck Baked Beans with Bacon and then there are fun new twists on classics, such as Mediterranean Tuna Casserole with Olives and Capers and Twice-Baked Potatoes Stuffed with Ricotta and Ground Sausage.",6,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2011/01/IMG_2692.jpg
12,Easy Black Bean Dip with Whole Wheat Pita Chips,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!","Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!",4,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2007/06/black-bean-dip-for-web.jpg
13,Artichoke Hummus,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"1. In a food processor, combine garbanzo beans, artichoke hearts, garlic, tahini, lemon juice, and olive oil.  Process until smooth, adding water to thin if necessary.  Add salt and Sriracha (if using) to taste. Extra lemon juice or tahini may also be added to taste.

2. Spoon hummus onto a plate, creating a bit of a well in the center.  Drizzle with olive oil and garnish with fresh chopped parsley.  Serve with your favorite flat bread, crackers, chips, or fresh vegetables.

Recipe Notes: Ingredient amounts, including garlic can be adjusted to suit your own taste.  Be careful with the hot sauce, a little bit adds a nice boost, but too much will overpower the flavors of the hummus.  If you cook your own garbanzo beans rather than using canned, reserve a bit of the cooking liquid to thin the hummus in place of plain water.",You also might have noticed that I took a week off from The BBA Challenge.  I was in the mountains with my family for a few days and decided I would rather spend quality time away from the computer rather than worry about completing my weekly bread post.  But I will be back Monday to tell you about making Peter Reinhart’s version of Challah!,6,http://pinchmysalt.com/artichoke-hummus/,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2009/06/img_5498-version-2.jpg
14,Baked White Bean Dip with Rosemary and Parmesan,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Most baked dips, while usually delicious, aren’t exactly healthy.  I love a nice creamy baked artichoke dip or a warm pinto bean dip covered with melted cheese, but they aren’t something I feel like I can indulge in all the time.

That’s why I’m so happy I discovered this Baked White Bean Dip with Rosemary and Parmesan from Faith Durand’s new cookbook, Not Your Mother’s Casseroles.  It satisfies my craving for a decadent warm dip, but is healthy enough to enjoy whenever I want.  The dip is a snap to make and uses pantry staples like canned beans, olive oil, and bread crumbs so it’s easy to throw together for unexpected guests or impromptu gatherings.","I’m pretty picky when it comes to accepting review copies of cookbooks because I just don’t have room for more books.  But I love casseroles, and I really liked the idea of a casserole book with 200 recipes, not one of which calls for a can of condensed soup.

Not Your Mother’s Casseroles was written by Faith Durand, managing editor of Apartment Therapy’s The Kitchn, so it should come as no surprise that the book is fantastic.  There are a few classic recipes like Basic Potluck Baked Beans with Bacon and then there are fun new twists on classics, such as Mediterranean Tuna Casserole with Olives and Capers and Twice-Baked Potatoes Stuffed with Ricotta and Ground Sausage.",6,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2011/01/IMG_2692.jpg
15,Easy Black Bean Dip with Whole Wheat Pita Chips,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!","Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!",4,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2007/06/black-bean-dip-for-web.jpg
16,Artichoke Hummus,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"1. In a food processor, combine garbanzo beans, artichoke hearts, garlic, tahini, lemon juice, and olive oil.  Process until smooth, adding water to thin if necessary.  Add salt and Sriracha (if using) to taste. Extra lemon juice or tahini may also be added to taste.

2. Spoon hummus onto a plate, creating a bit of a well in the center.  Drizzle with olive oil and garnish with fresh chopped parsley.  Serve with your favorite flat bread, crackers, chips, or fresh vegetables.

Recipe Notes: Ingredient amounts, including garlic can be adjusted to suit your own taste.  Be careful with the hot sauce, a little bit adds a nice boost, but too much will overpower the flavors of the hummus.  If you cook your own garbanzo beans rather than using canned, reserve a bit of the cooking liquid to thin the hummus in place of plain water.",You also might have noticed that I took a week off from The BBA Challenge.  I was in the mountains with my family for a few days and decided I would rather spend quality time away from the computer rather than worry about completing my weekly bread post.  But I will be back Monday to tell you about making Peter Reinhart’s version of Challah!,6,http://pinchmysalt.com/artichoke-hummus/,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2009/06/img_5498-version-2.jpg
17,Baked White Bean Dip with Rosemary and Parmesan,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Most baked dips, while usually delicious, aren’t exactly healthy.  I love a nice creamy baked artichoke dip or a warm pinto bean dip covered with melted cheese, but they aren’t something I feel like I can indulge in all the time.

That’s why I’m so happy I discovered this Baked White Bean Dip with Rosemary and Parmesan from Faith Durand’s new cookbook, Not Your Mother’s Casseroles.  It satisfies my craving for a decadent warm dip, but is healthy enough to enjoy whenever I want.  The dip is a snap to make and uses pantry staples like canned beans, olive oil, and bread crumbs so it’s easy to throw together for unexpected guests or impromptu gatherings.","I’m pretty picky when it comes to accepting review copies of cookbooks because I just don’t have room for more books.  But I love casseroles, and I really liked the idea of a casserole book with 200 recipes, not one of which calls for a can of condensed soup.

Not Your Mother’s Casseroles was written by Faith Durand, managing editor of Apartment Therapy’s The Kitchn, so it should come as no surprise that the book is fantastic.  There are a few classic recipes like Basic Potluck Baked Beans with Bacon and then there are fun new twists on classics, such as Mediterranean Tuna Casserole with Olives and Capers and Twice-Baked Potatoes Stuffed with Ricotta and Ground Sausage.",6,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2011/01/IMG_2692.jpg
18,Easy Black Bean Dip with Whole Wheat Pita Chips,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!","Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!",4,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2007/06/black-bean-dip-for-web.jpg
19,Artichoke Hummus,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"1. In a food processor, combine garbanzo beans, artichoke hearts, garlic, tahini, lemon juice, and olive oil.  Process until smooth, adding water to thin if necessary.  Add salt and Sriracha (if using) to taste. Extra lemon juice or tahini may also be added to taste.

2. Spoon hummus onto a plate, creating a bit of a well in the center.  Drizzle with olive oil and garnish with fresh chopped parsley.  Serve with your favorite flat bread, crackers, chips, or fresh vegetables.

Recipe Notes: Ingredient amounts, including garlic can be adjusted to suit your own taste.  Be careful with the hot sauce, a little bit adds a nice boost, but too much will overpower the flavors of the hummus.  If you cook your own garbanzo beans rather than using canned, reserve a bit of the cooking liquid to thin the hummus in place of plain water.",You also might have noticed that I took a week off from The BBA Challenge.  I was in the mountains with my family for a few days and decided I would rather spend quality time away from the computer rather than worry about completing my weekly bread post.  But I will be back Monday to tell you about making Peter Reinhart’s version of Challah!,6,http://pinchmysalt.com/artichoke-hummus/,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2009/06/img_5498-version-2.jpg
20,Baked White Bean Dip with Rosemary and Parmesan,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Most baked dips, while usually delicious, aren’t exactly healthy.  I love a nice creamy baked artichoke dip or a warm pinto bean dip covered with melted cheese, but they aren’t something I feel like I can indulge in all the time.

That’s why I’m so happy I discovered this Baked White Bean Dip with Rosemary and Parmesan from Faith Durand’s new cookbook, Not Your Mother’s Casseroles.  It satisfies my craving for a decadent warm dip, but is healthy enough to enjoy whenever I want.  The dip is a snap to make and uses pantry staples like canned beans, olive oil, and bread crumbs so it’s easy to throw together for unexpected guests or impromptu gatherings.","I’m pretty picky when it comes to accepting review copies of cookbooks because I just don’t have room for more books.  But I love casseroles, and I really liked the idea of a casserole book with 200 recipes, not one of which calls for a can of condensed soup.

Not Your Mother’s Casseroles was written by Faith Durand, managing editor of Apartment Therapy’s The Kitchn, so it should come as no surprise that the book is fantastic.  There are a few classic recipes like Basic Potluck Baked Beans with Bacon and then there are fun new twists on classics, such as Mediterranean Tuna Casserole with Olives and Capers and Twice-Baked Potatoes Stuffed with Ricotta and Ground Sausage.",6,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2011/01/IMG_2692.jpg
21,Easy Black Bean Dip with Whole Wheat Pita Chips,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!","Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!",4,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2007/06/black-bean-dip-for-web.jpg
22,Artichoke Hummus,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"1. In a food processor, combine garbanzo beans, artichoke hearts, garlic, tahini, lemon juice, and olive oil.  Process until smooth, adding water to thin if necessary.  Add salt and Sriracha (if using) to taste. Extra lemon juice or tahini may also be added to taste.

2. Spoon hummus onto a plate, creating a bit of a well in the center.  Drizzle with olive oil and garnish with fresh chopped parsley.  Serve with your favorite flat bread, crackers, chips, or fresh vegetables.

Recipe Notes: Ingredient amounts, including garlic can be adjusted to suit your own taste.  Be careful with the hot sauce, a little bit adds a nice boost, but too much will overpower the flavors of the hummus.  If you cook your own garbanzo beans rather than using canned, reserve a bit of the cooking liquid to thin the hummus in place of plain water.",You also might have noticed that I took a week off from The BBA Challenge.  I was in the mountains with my family for a few days and decided I would rather spend quality time away from the computer rather than worry about completing my weekly bread post.  But I will be back Monday to tell you about making Peter Reinhart’s version of Challah!,6,http://pinchmysalt.com/artichoke-hummus/,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2009/06/img_5498-version-2.jpg
23,Baked White Bean Dip with Rosemary and Parmesan,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Most baked dips, while usually delicious, aren’t exactly healthy.  I love a nice creamy baked artichoke dip or a warm pinto bean dip covered with melted cheese, but they aren’t something I feel like I can indulge in all the time.

That’s why I’m so happy I discovered this Baked White Bean Dip with Rosemary and Parmesan from Faith Durand’s new cookbook, Not Your Mother’s Casseroles.  It satisfies my craving for a decadent warm dip, but is healthy enough to enjoy whenever I want.  The dip is a snap to make and uses pantry staples like canned beans, olive oil, and bread crumbs so it’s easy to throw together for unexpected guests or impromptu gatherings.","I’m pretty picky when it comes to accepting review copies of cookbooks because I just don’t have room for more books.  But I love casseroles, and I really liked the idea of a casserole book with 200 recipes, not one of which calls for a can of condensed soup.

Not Your Mother’s Casseroles was written by Faith Durand, managing editor of Apartment Therapy’s The Kitchn, so it should come as no surprise that the book is fantastic.  There are a few classic recipes like Basic Potluck Baked Beans with Bacon and then there are fun new twists on classics, such as Mediterranean Tuna Casserole with Olives and Capers and Twice-Baked Potatoes Stuffed with Ricotta and Ground Sausage.",6,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2011/01/IMG_2692.jpg
24,Easy Black Bean Dip with Whole Wheat Pita Chips,"<ul>
<li>1 libra de frijol, ojalá negro</li>
<li>½ libra larga de carne molida</li>
<li>1 cebolla cabezona grande</li>
<li>2 tomates pelados</li>
<li>3 dientes de ajo</li>
<li>1 pimentón rojo pequeño</li>
<li>Ají o chili al gusto</li>
<li>Tomillo, laurel, paprika y sal al gusto.</li>
</ul>",,"Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!","Looking for a quick and healthy snack that doesn’t taste quick or healthy? With just a few simple ingredients, you can whip up a restaurant-quality appetizer that you can eat without any guilt. Black beans, one of the world’s healthiest foods, are packed with heart-healthy fiber and cancer-fighting antioxidants. And the best part is that when combined with a whole grain, such as these whole wheat pita chips, beans provide a high quality protein. That’s right, filled with complex carbohydrates and protein, this is a snack that won’t let you down after an hour or two!",4,link,http://pinchmysalt.com/artichoke-hummus/,en,http://pinchmysalt.com/wp-content/uploads/2007/06/black-bean-dip-for-web.jpg
